9674 Einhard   Germany
9679 Prince Eugene of Savoy   France
9764 Emma Goldman   Lithuania
9779 Edvard Munch   NORWAY
9808 Euripides   GREECE
9810 Emily Brontë   United Kingdom
9815 Évariste Galois   France
9820 Ennius   Italy
9839 Ezra   Iraq
9840 Elijah   Jordan
9902 Esther   Iran
9911 Ezekiel   Israel
9942 Erwin Schrödinger   AUSTRIA
9948 Élisabeth-Louise Vigée Le Brun   FRANCE
9956 Erik Satie   France
9962 Eleanor of Aquitaine   FRANCE
10002 Emil Kraepelin   Germany
10018 Edsger Dijkstra   NETHERLANDS
10030 Edmund Burke   IRELAND
10049 Eric Clapton   UNITED KINGDOM
10073 Epicurus   Greece
10076 El Cid   Spain
10083 Ethelred the Unready   United Kingdom
10085 Edward Elgar   UNITED KINGDOM
10101 Eugene Wigner   HUNGARY
10128 Elizabeth I of England   United Kingdom
10130 Emperor Jimmu   JAPAN
10148 Ernst Kaltenbrunner   AUSTRIA
10150 Engelbert Dollfuss   AUSTRIA
10151 E.T.A. Hoffmann   Russia
10152 Desiderius Erasmus   NETHERLANDS
10172 Eusebius of Caesarea   Israel
10245 Edward VI of England   United Kingdom
10258 Enid Blyton   UNITED KINGDOM
10264 Enrico Fermi   Italy
10277 Ennio Morricone   ITALY
10286 Enver Hoxha   ALBANIA
10287 Hirohito   Japan
10292 Louis Mountbatten, 1st Earl Mountbatten of Burma   UNITED KINGDOM
9549 Edgar Allan Poe   UNITED STATES
10310 Edward Gibbon   United Kingdom
10313 E. O. Wilson   UNITED STATES
10328 Evliya Çelebi   Turkey
10354 Edmund I of England   United Kingdom
10358 Ephrem the Syrian   Turkey
10407 Epictetus   Turkey
10408 Edward Lear   United Kingdom
10442 Emperor Suizei   Unknown
10443 Emperor Annei   Unknown
10473 Emil Theodor Kocher   SWITZERLAND
16069 Jonathan Demme   UNITED STATES
10489 Edwin Hubble   United States
10510 Elvis Costello   UNITED KINGDOM
10518 Elie Wiesel   Romania
48039 Saul Kripke   United States
10576 Francis Ford Coppola   UNITED STATES
10671 Friedrich Nietzsche   Germany
10672 Frank Zappa   UNITED STATES
10683 Frank Lloyd Wright   United States
10777 Friedrich Wöhler   GERMANY
10823 Frédéric Chopin   POLAND
10852 Frank Herbert   UNITED STATES
10855 Franco Baresi   ITALY
10858 Franz Kafka   CZECH REPUBLIC
10868 Francisco Goya   SPAIN
10896 Felix Bloch   SWITZERLAND
10957 Francis Xavier   SPAIN
170459 LL Cool J   United States
10989 Felix Hausdorff   POLAND
11001 Fred Hoyle   UNITED KINGDOM
11023 Honorius   Turkey
11033 Frederick Douglass   United States
11041 Ferdinand de Saussure   Switzerland
11125 Francesco Borromini   SWITZERLAND
11181 Frank Sinatra   UNITED STATES
159966 Ludacris   UNITED STATES
11282 Frédéric Bastiat   FRANCE
11285 Francisco I. Madero   MEXICO
11307 Frans Eemil Sillanpää   FINLAND
11319 Francis Bacon   United Kingdom
11358 Felix Wankel   Germany
11369 Frank Capra   ITALY
11371 Fabius Maximus   Italy
11397 Freeman Dyson   UNITED KINGDOM
11431 Fernando Pessoa   PORTUGAL
11449 Frederick William, Elector of Brandenburg   Germany
11457 Fra Angelico   ITALY
11458 Fra Bartolommeo   ITALY
11461 Francis Crick   UNITED KINGDOM
11466 Francisco Franco   SPAIN
11469 Friedrich August Kekulé von Stradonitz   Germany
11472 Frederick III, Holy Roman Emperor   AUSTRIA
11479 Frederik Willem de Klerk   SOUTH AFRICA
11508 Francis Drake   UNITED KINGDOM
11551 Francis II, Holy Roman Emperor   Italy
11574 Friedrich Bessel   GERMANY
11625 Fyodor Dostoyevsky   Russia
11631 Fritz Lang   AUSTRIA
11638 Francis of Assisi   ITALY
11646 Friedrich Hayek   AUSTRIA
11698 Franz Boas   Germany
11699 Franz Bopp   GERMANY
11778 Frederick Soddy   UNITED KINGDOM
11786 Federico Fellini   ITALY
11794 Frederick William I of Prussia   GERMANY
11801 Filippo Tommaso Marinetti   Egypt
11803 Franz Mesmer   Germany
11809 Francesco Cossiga   ITALY
11820 Fridtjof Nansen   NORWAY
20596343 Milo Ventimiglia   UNITED STATES
11891 George Orwell   India
9591 E. E. Cummings   UNITED STATES
11958 George Berkeley   IRELAND
11959 George Edward Moore   UNITED KINGDOM
11968 George Washington   UNITED STATES
12007 Johann Gottlieb Fichte   Germany
12104 Guglielmo Marconi   ITALY
12209 Gene Kelly   United States
12216 Georg Cantor   Russia
466275 Alison Krauss   UNITED STATES
12232 Gustave Eiffel   FRANCE
12234 George Whipple   UNITED STATES
12274 Guy de Maupassant   FRANCE
12276 Gheorghe Hagi   ROMANIA
12277 Gordon Banks   UNITED KINGDOM
12281 Gottfried Wilhelm von Leibniz   Germany
12300 George R. R. Martin   UNITED STATES
